arm,n,k,edges,n_rows,acc,median_tokens,hit_cap_rate
gemma4-e4b-think,300,8,1200,50,1.0,202.5,0.0
qwen3-0.6b,40,8,160,50,0.74,96.0,0.0
qwen3-0.6b,40,12,240,50,0.5,113.5,0.0
qwen3-0.6b,40,16,320,50,0.3,129.0,0.0
qwen3-0.6b,60,8,240,50,0.76,99.5,0.0
qwen3-0.6b,60,12,360,50,0.56,120.0,0.0
qwen3-0.6b,60,16,480,50,0.16,133.0,0.0
qwen3-0.6b,80,4,160,50,0.88,84.0,0.0
qwen3-0.6b,80,8,320,50,0.5,104.0,0.0
qwen3-0.6b,80,12,480,50,0.2,114.5,0.0
qwen3-0.6b,80,16,640,50,0.1,135.0,0.0
qwen3-0.6b,120,4,240,50,0.66,80.5,0.0
qwen3-0.6b,120,8,480,50,0.38,97.0,0.0
qwen3-0.6b,120,12,720,50,0.2,113.5,0.0
qwen3-0.6b,120,16,960,50,0.08,128.0,0.0
qwen3-0.6b,160,8,640,50,0.4,110.0,0.0
qwen3-0.6b,160,12,960,50,0.14,124.0,0.0
qwen3-0.6b,200,12,1200,50,0.06,123.5,0.0
qwen3-0.6b,300,8,1200,50,0.18,88.5,0.0
qwen3-0.6b-think,40,8,160,50,0.94,488.0,0.0
qwen3-0.6b-think,40,12,240,50,0.8,584.0,0.0
qwen3-0.6b-think,40,16,320,50,0.7,730.0,0.0
qwen3-0.6b-think,60,8,240,50,0.94,419.0,0.0
qwen3-0.6b-think,60,12,360,50,0.74,520.5,0.0
qwen3-0.6b-think,60,16,480,50,0.6,684.0,0.06
qwen3-0.6b-think,80,4,160,50,0.96,334.5,0.0
qwen3-0.6b-think,80,8,320,50,0.84,410.0,0.0
qwen3-0.6b-think,80,12,480,50,0.62,563.0,0.02
qwen3-0.6b-think,80,16,640,50,0.38,724.0,0.04
qwen3-0.6b-think,120,4,240,50,0.86,302.0,0.0
qwen3-0.6b-think,120,8,480,50,0.64,422.5,0.0
qwen3-0.6b-think,120,12,720,50,0.46,518.0,0.02
